feature,chi2_score,p_value
385,0.1690657685836763,0.6809434267167276
information accuweather,0.1690657685836763,0.6809434267167276
faq page,0.1690657685836763,0.6809434267167276
forecast beverly,0.1690657685836763,0.6809434267167276
byhour 15,0.1690657685836763,0.6809434267167276
feedback suggestions,0.1690657685836763,0.6809434267167276
webhelp accuweather,0.1690657685836763,0.6809434267167276
conditions hour,0.1690657685836763,0.6809434267167276
hour byhour,0.1690657685836763,0.6809434267167276
current conditions,0.1690657685836763,0.6809434267167276
clouds low,0.1690657685836763,0.6809434267167276
following account,0.1690657685836763,0.6809434267167276
forecast accuweather,0.1690657685836763,0.6809434267167276
webhelp,0.1690657685836763,0.6809434267167276
ca radar,0.1690657685836763,0.6809434267167276
monday low,0.1690657685836763,0.6809434267167276
65 saturday,0.1690657685836763,0.6809434267167276
com 385,0.1690657685836763,0.6809434267167276
suggestions write,0.1690657685836763,0.6809434267167276
college pa,0.1690657685836763,0.6809434267167276
alert daily,0.1690657685836763,0.6809434267167276
75 low,0.1690657685836763,0.6809434267167276
unsubscribe day,0.1690657685836763,0.6809434267167276
73 low,0.1690657685836763,0.6809434267167276
assistance service,0.1690657685836763,0.6809434267167276
63 monday,0.1690657685836763,0.6809434267167276
63 sunday,0.1690657685836763,0.6809434267167276
63 receiving,0.1690657685836763,0.6809434267167276
15 day,0.1690657685836763,0.6809434267167276
friday areas,0.1690657685836763,0.6809434267167276
sys exit,0.16905651041168074,0.6809516814349805
affected regions,0.1690168022663585,0.6809870887813131
hosting,0.16889825545088047,0.6810928246967394
dual,0.16886864179658218,0.6811192448875147
failed returning,0.16884239243948684,0.6811426658425328
message sender,0.16884239243948684,0.6811426658425328
returning message,0.16884239243948684,0.6811426658425328
success questions,0.16880367291032095,0.6811772171773205
isn,0.16879786243680514,0.6811824025474573
manage account,0.16874145221412953,0.6812327494586881
online manage,0.16874145221412953,0.6812327494586881
trafficking,0.1687267478114119,0.6812458749594169
heuristics,0.16853785645417219,0.6814145433684478
mail possible,0.16852789228837128,0.6814234438242668
just look,0.16851336367703357,0.6814364220059018
pm message,0.1685081530177997,0.6814410767657044
keyword,0.16843449379368602,0.6815068866507035
today http,0.1683789117743722,0.6815565568212223
knows change,0.16832629134498114,0.681603589231543
difference today,0.1682960318854394,0.6816306391817619
increased,0.16828654956114736,0.6816391163355057
wait share,0.16821458500770053,0.6817034614070938
hibernate,0.16817660598706702,0.6817374257572073
www python,0.1680685809151908,0.6818340562597909
essential information,0.16804895770094583,0.6818516134948664
dc,0.16797185773326398,0.6819206077889761
145,0.1679171497407384,0.6819695754390529
informatica,0.16789599510629138,0.6819885128801109
8859 format,0.1678928073210792,0.6819913666779482
discarding,0.16785721889501104,0.6820232286184382
noisy,0.16784720313799684,0.6820321963307625
human disease,0.16782184500566824,0.6820549023956949
house,0.1677792815204754,0.6820930189041903
storm,0.167748158548584,0.682120893762856
console,0.16767564331998563,0.6821858527390936
stanford university,0.1676370926558061,0.6822203930137678
disconnected,0.16763302962083892,0.6822240336451317
34 pm,0.1676105866785213,0.6822441442894771
doesn support,0.16760292869347254,0.682251006807097
davis security,0.167571222138379,0.6822794218157684
fair,0.16756662747636206,0.6822835397534013
23 07,0.16755115516667585,0.6822974072007421
etch,0.16749909975956684,0.6823440686600388
shares,0.16749837125902584,0.682344721733882
important work,0.16747984133317695,0.6823613336858791
0000 coreui,0.16738027419171458,0.6824506133240362
attic coreui,0.16738027419171458,0.6824506133240362
index coreui,0.16738027419171458,0.6824506133240362
r1 coreui,0.16738027419171458,0.6824506133240362
shelter education,0.16733016189155336,0.6824955596349549
is_spam def,0.16729634945511468,0.6825258908456334
attach,0.16727348638272677,0.682546402033164
veto,0.167208485856571,0.6826047250072058
eating,0.16719919016399726,0.6826130668277952
archiving,0.16719363467584653,0.6826180523720375
resolution priority,0.16717819723142255,0.6826319065789089
promotes,0.16713240793257322,0.682673004198566
resulted,0.1671131445859103,0.682690295741038
chances,0.16706013451658708,0.6827378856829232
energy efficient,0.16704435649302354,0.6827520521505395
began,0.16692703117811347,0.6828574184400275
gnome,0.16689166567742464,0.6828891875934596
event best,0.16686743803241266,0.6829109537762067
panasonic,0.16683704685026815,0.6829382599048395
love great,0.1668123505739596,0.682960451363212
stars,0.16676360267471488,0.6830042606368865
replaces,0.16670663100152638,0.6830554700067997
employee length,0.16663332076148163,0.6831213804297613
concepts,0.16663212161868693,0.6831224586736099
wallet tom,0.16658605950707292,0.6831638801771494
wondered,0.16654645498359172,0.6831995000153284
core_resources directory,0.16653490390826828,0.6832098898459266
guaranteed,0.16651976494169723,0.6832235075088371
wow,0.16650966489945812,0.6832325930068115
developer onsite,0.16640653548548012,0.6833253815246503
developer company,0.16640653548548012,0.6833253815246503
rod,0.16627352872077372,0.6834451010911802
2008 latest,0.166251032270499,0.6834653556972039
macbook,0.16613568708901955,0.6835692314697167
2008 jdow,0.1661080578492189,0.6835941196238036
jdow wrote,0.1661080578492189,0.6835941196238036
jdow,0.1661080578492189,0.6835941196238036
think sa,0.16609863143485834,0.6836026113996239
viewvc spamassassin,0.16602138757870488,0.6836722070364909
phishing,0.16599812756241256,0.6836931676848499
daniel black,0.16575513573854103,0.6839122410111562
getting rid,0.16573242190749474,0.6839327286087213
spambayes tokenizer,0.165669024113996,0.68398992130278
informationen,0.16559332043349842,0.6840582321502524
wrote ok,0.1655750187444034,0.6840747493220745
michael,0.16557334063535836,0.6840762638593332
safeguard,0.16544451900878665,0.6841925554553091
initially,0.16541111247130474,0.6842227212707184
implemented,0.16533033757998344,0.6842956749735685
francisco,0.16528521775397204,0.6843364350239064
san francisco,0.16528521775397204,0.6843364350239064
pittsburgh,0.16527817847679271,0.684342794704208
digital marketing,0.16519986645666684,0.6844135568493468
foremost,0.16518602149502587,0.6844260690841075
vitality,0.16517964288490367,0.6844318338897946
resources affected,0.16505573524438782,0.6845438438157114
scenario,0.16502586945117098,0.684570849196295
burden,0.16494397065956276,0.6846449186971436
relationship,0.16493716145081583,0.6846510779294561
regards matthew,0.16489380593523298,0.6846902983967126
added trojan,0.16481259197811665,0.6847637827090658
allows,0.1647733265917215,0.6847993185239971
science journal,0.164735816024127,0.6848332708056588
soa,0.16470586233638435,0.6848603862930788
guido,0.1646342467576805,0.6849252277271921
homeland security,0.16461512703170006,0.6849425416888832
homeland,0.16461512703170006,0.6849425416888832
collaborative,0.16451901079787468,0.6850295979606433
impressive,0.16451225406363196,0.6850357189158596
partitions,0.1644807152006219,0.6850642920467537
economics,0.16443360446757654,0.6851069787011193
bit longer,0.1644222315867162,0.6851172846434477
19 stay,0.1643849486292643,0.6851510728380878
difference warm,0.16434108323807714,0.6851908321671769
wednesday,0.16433238092841881,0.6851987206231783
ways earn,0.16432968593139052,0.6852011636291735
process access,0.16431828873920223,0.6852114954045331
plugin load_plugin,0.16428502890320829,0.6852416484750814
removed,0.16423036686457082,0.6852912123121347
https volunteer,0.16421548640041217,0.6853047065727964
specs,0.1641902098954059,0.6853276300529663
31 2007,0.1641771464923544,0.6853394781709239
receive deserved,0.16416691419717833,0.6853487589415193
plugin web,0.1641340499129897,0.6853785693782326
soar,0.16408090330711841,0.6854267847957677
knowledge discovery,0.16407203536740433,0.6854348308118112
hook,0.16404150625748176,0.6854625322715102
zurich,0.16397641118945258,0.6855216081617437
exist,0.1639718501711634,0.6855257479457364
matter,0.16396265752922085,0.6855340918019609
wildlife,0.1638915671818203,0.6855986273482524
treatments,0.16366680911549542,0.6858027690945808
warning message,0.16365152967718039,0.6858166529200949
encryption account,0.16362671029809422,0.6858392069227657
une,0.16362671029809422,0.6858392069227657
ver este,0.16362671029809422,0.6858392069227657
2021 54,0.16362671029809422,0.6858392069227657
enviado,0.16362671029809422,0.6858392069227657
compte smarsh,0.16362671029809422,0.6858392069227657
crear,0.16362671029809422,0.6858392069227657
créer,0.16362671029809422,0.6858392069227657
cuenta smarsh,0.16362671029809422,0.6858392069227657
para crear,0.16362671029809422,0.6858392069227657
connect like,0.16358266321784315,0.6858792385289736
try http,0.1635632643407069,0.6858968709309969
secs wed,0.1634769076822417,0.6859753786591953
immune,0.1634341271452731,0.6860142798227311
correctly classified,0.163408890447641,0.6860372308142704
way skip,0.16334757809241915,0.6860929986557623
science online,0.1633244850077781,0.6861140065752844
definitely,0.16329568832183106,0.6861402055162922
adam,0.16329087498603156,0.6861445849038763
bquote,0.1632616718321307,0.6861711568456086
travel,0.16320298926761317,0.6862245604551395
obama,0.16319964701883488,0.6862276023786678
able offer,0.16317280951045163,0.6862520296562606
emily johnson,0.16313411186919768,0.6862872560424456
import readonlyerror,0.1631337481619628,0.686287587147472
closed database,0.1631337481619628,0.686287587147472
self closed,0.1631337481619628,0.686287587147472
readonlyerror,0.1631337481619628,0.686287587147472
store closed,0.1631337481619628,0.686287587147472
informative,0.16312694549727286,0.6862937801099119
r619753,0.16310949581181025,0.6863096665196579
r619753 spamassassin,0.16310949581181025,0.6863096665196579
pm lib,0.16310949581181025,0.6863096665196579
pm uri_text,0.16310949581181025,0.6863096665196579
commit r619753,0.16310949581181025,0.6863096665196579
1st,0.163108403161267,0.686310661315126
willing try,0.16304478549127738,0.6863685882271904
tokens mime_message,0.16303636988458278,0.6863762520213562
form_to_mime form_dict,0.16303636988458278,0.6863762520213562
regards stephanie,0.16299412871211466,0.6864147230326811
00 0000,0.16297560031308594,0.6864315995414585
running machine,0.1628940338870912,0.6865059072224735
classifiers,0.16285748144317955,0.6865392138177737
multiple copies,0.16283972195631002,0.6865553978352203
spambayes import,0.16277640164612678,0.6866131092641148
